Timestamp,Scenario,Engine_Fault_State,EGT_Sensor_Health,Vibration_Sensor_Health,RunID,TimeStep,Prediction_FullDBN,Prediction_VanillaDBN,Prediction_RuleBased
2025-05-01 11:53:00.991125,Normal,Normal,OK,OK,0,137,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:01.991125,Normal,Normal,OK,OK,0,138,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:02.991125,Normal,Normal,OK,OK,0,139,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:03.991125,Normal,Normal,OK,OK,0,140,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:04.991125,Normal,Normal,OK,OK,0,141,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:05.991125,Normal,Normal,OK,OK,0,142,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:06.991125,Normal,Normal,OK,OK,0,143,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:07.991125,Normal,Normal,OK,OK,0,144,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:08.991125,Normal,Normal,OK,OK,0,145,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:09.991125,Normal,Normal,OK,OK,0,146,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:10.991125,Normal,Normal,OK,OK,0,147,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:11.991125,Normal,Normal,OK,OK,0,148,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:12.991125,Normal,Normal,OK,OK,0,149,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:13.991125,Normal,Normal,OK,OK,0,150,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:14.991125,Normal,Normal,OK,OK,0,151,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:15.991125,Normal,Normal,OK,OK,0,152,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:16.991125,Normal,Normal,OK,OK,0,153,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:17.991125,Normal,Normal,OK,OK,0,154,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:18.991125,Normal,Normal,OK,OK,0,155,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:19.991125,Normal,Normal,OK,OK,0,156,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:20.991125,Normal,Normal,OK,OK,0,157,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:21.991125,Normal,Normal,OK,OK,0,158,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:22.991125,Normal,Normal,OK,OK,0,159,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
2025-05-01 11:53:23.991125,Normal,Normal,OK,OK,0,160,Normal_Predicted,OilLeak_Predicted,Normal_Predicted
